route_id,service_id,trip_short_name,trip_headsign,route_short_name,direction_id,block_id,shape_id,wheelchair_accessible,trip_bikes_allowed,trip_id
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761886,10289,0,0,4550357-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761683,10289,0,0,4550358-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761685,10289,0,0,4550359-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761678,10289,0,0,4550360-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761680,10289,0,0,4550361-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761682,10289,0,0,4550362-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761885,10289,0,0,4550363-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761684,10289,0,0,4550364-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761679,10289,0,0,4550365-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761681,10289,0,0,4550366-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761886,10289,0,0,4550367-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761683,10289,0,0,4550368-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761685,10289,0,0,4550369-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761678,10289,0,0,4550370-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761680,10289,0,0,4550371-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761682,10289,0,0,4550372-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761885,10289,0,0,4550373-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761684,10289,0,0,4550374-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761679,10289,0,0,4550375-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761681,10289,0,0,4550376-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761886,10289,0,0,4550377-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761686,10289,0,0,4550378-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761887,10289,0,0,4550379-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761683,10289,0,0,4550380-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761890,10289,0,0,4550381-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761678,10289,0,0,4550382-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761888,10289,0,0,4550383-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761682,10289,0,0,4550384-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761885,10289,0,0,4550385-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761891,10289,0,0,4550386-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761679,10289,0,0,4550387-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761681,10289,0,0,4550388-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761889,10289,0,0,4550389-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761686,10289,0,0,4550390-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761887,10289,0,0,4550391-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761682,10291,0,0,4550392-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761888,10289,0,0,4550393-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761679,10291,0,0,4550394-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,Pacific Ave/6th Ave - Dwtn/TCC,,,761684,10289,0,0,4550395-11OCT-MVS-WKD-Weekday-03
1-140,11OCT-MVS-WKD-Weekday-03,,6th/Pac Ave - 8th Ave-SR7,,,761681,10286,0,0,4550396-11OCT-MVS-WKD-Weekday-03
500-140,11OCT-MVS-WKD-Weekday-03,,Federal Way,,,761668,5000123,0,0,4550419-11OCT-MVS-WKD-Weekday-03
500-140,11OCT-MVS-WKD-Weekday-03,,Federal Way,,,761669,5000123,0,0,4550420-11OCT-MVS-WKD-Weekday-03
500-140,11OCT-MVS-WKD-Weekday-03,,Federal Way,,,761668,5000123,0,0,4550421-11OCT-MVS-WKD-Weekday-03
500-140,11OCT-MVS-WKD-Weekday-03,,Federal Way,,,761669,5000123,0,0,4550422-11OCT-MVS-WKD-Weekday-03
500-140,11OCT-MVS-WKD-Weekday-03,,Federal Way,,,761637,5000123,0,0,4550423-11OCT-MVS-WKD-Weekday-03
500-140,11OCT-MVS-WKD-Weekday-03,,Federal Way,,,761613,5000123,0,0,4550424-11OCT-MVS-WKD-Weekday-03
500-140,11OCT-MVS-WKD-Weekday-03,,Federal Way,,,761861,5000123,0,0,4550425-11OCT-MVS-WKD-Weekday-03
500-140,11OCT-MVS-WKD-Weekday-03,,Federal Way,,,761668,5000123,0,0,4550426-11OCT-MVS-WKD-Weekday-03
500-140,11OCT-MVS-WKD-Weekday-03,,Federal Way,,,761669,5000123,0,0,4550427-11OCT-MVS-WKD-Weekday-03
500-140,11OCT-MVS-WKD-Weekday-03,,Tacoma,,,761668,5000119,0,0,4550428-11OCT-MVS-WKD-Weekday-03
500-140,11OCT-MVS-WKD-Weekday-03,,Tacoma,,,761668,5000120,0,0,4550431-11OCT-MVS-WKD-Weekday-03
500-140,11OCT-MVS-WKD-Weekday-03,,Federal Way,,,761613,5000123,0,0,4550432-11OCT-MVS-WKD-Weekday-03
500-140,11OCT-MVS-WKD-Weekday-03,,Federal Way,,,761637,5000123,0,0,4550433-11OCT-MVS-WKD-Weekday-03
500-140,11OCT-MVS-WKD-Weekday-03,,Tacoma,,,761669,5000120,0,0,4550434-11OCT-MVS-WKD-Weekday-03
500-140,11OCT-MVS-WKD-Weekday-03,,Tacoma,,,761637,5000120,0,0,4550435-11OCT-MVS-WKD-Weekday-03
500-140,11OCT-MVS-WKD-Weekday-03,,Federal Way,,,761637,5000123,0,0,4550436-11OCT-MVS-WKD-Weekday-03
500-140,11OCT-MVS-WKD-Weekday-03,,Federal Way,,,761637,5000123,0,0,4550437-11OCT-MVS-WKD-Weekday-03
500-140,11OCT-MVS-WKD-Weekday-03,,Federal Way,,,761613,5000123,0,0,4550438-11OCT-MVS-WKD-Weekday-03
500-140,11OCT-MVS-WKD-Weekday-03,,Federal Way,,,761861,5000123,0,0,4550439-11OCT-MVS-WKD-Weekday-03
500-140,11OCT-MVS-WKD-Weekday-03,,Tacoma,,,761861,5000120,0,0,4550440-11OCT-MVS-WKD-Weekday-03
500-140,11OCT-MVS-WKD-Weekday-03,,Tacoma,,,761669,5000120,0,0,4550441-11OCT-MVS-WKD-Weekday-03
500-140,11OCT-MVS-WKD-Weekday-03,,Tacoma,,,761669,5000120,0,0,4550446-11OCT-MVS-WKD-Weekday-03
500-140,11OCT-MVS-WKD-Weekday-03,,Tacoma,,,761637,5000120,0,0,4550447-11OCT-MVS-WKD-Weekday-03
500-140,11OCT-MVS-WKD-Weekday-03,,Tacoma,,,761613,5000120,0,0,4550448-11OCT-MVS-WKD-Weekday-03
500-140,11OCT-MVS-WKD-Weekday-03,,Tacoma,,,761861,5000120,0,0,4550449-11OCT-MVS-WKD-Weekday-03
410-140,11OCT-MVS-WKD-Weekday-03,,Pierce College,,,761657,4100095,0,0,4550460-11OCT-MVS-WKD-Weekday-03
410-140,11OCT-MVS-WKD-Weekday-03,,Pierce College,,,761655,4100095,0,0,4550461-11OCT-MVS-WKD-Weekday-03
410-140,11OCT-MVS-WKD-Weekday-03,,Pierce College,,,761608,4100095,0,0,4550462-11OCT-MVS-WKD-Weekday-03
410-140,11OCT-MVS-WKD-Weekday-03,,Pierce College,,,761618,4100095,0,0,4550463-11OCT-MVS-WKD-Weekday-03
410-140,11OCT-MVS-WKD-Weekday-03,,Pierce College,,,761657,4100095,0,0,4550464-11OCT-MVS-WKD-Weekday-03
410-140,11OCT-MVS-WKD-Weekday-03,,Pierce College,,,761655,4100095,0,0,4550465-11OCT-MVS-WKD-Weekday-03
410-140,11OCT-MVS-WKD-Weekday-03,,Pierce College,,,761618,4100095,0,0,4550466-11OCT-MVS-WKD-Weekday-03
410-140,11OCT-MVS-WKD-Weekday-03,,South Hill,,,761657,4100096,0,0,4550467-11OCT-MVS-WKD-Weekday-03
410-140,11OCT-MVS-WKD-Weekday-03,,South Hill,,,761655,4100096,0,0,4550468-11OCT-MVS-WKD-Weekday-03
410-140,11OCT-MVS-WKD-Weekday-03,,Parkland,,,761865,4100099,0,0,4550469-11OCT-MVS-WKD-Weekday-03
410-140,11OCT-MVS-WKD-Weekday-03,,Parkland,,,761608,4100097,0,0,4550470-11OCT-MVS-WKD-Weekday-03
410-140,11OCT-MVS-WKD-Weekday-03,,Parkland,,,761618,4100097,0,0,4550471-11OCT-MVS-WKD-Weekday-03
410-140,11OCT-MVS-WKD-Weekday-03,,Parkland,,,761657,4100097,0,0,4550472-11OCT-MVS-WKD-Weekday-03
