trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign
T296,17:17:00,17:17:00,755006,2,
T297,17:18:00,17:18:00,755000,1,
T297,17:25:00,17:25:00,755006,2,
T298,17:26:00,17:26:00,755000,1,
T298,17:33:00,17:33:00,755006,2,
T299,17:34:00,17:34:00,755000,1,
T299,17:41:00,17:41:00,755006,2,
T300,17:42:00,17:42:00,755000,1,
T300,17:49:00,17:49:00,755006,2,
T301,17:50:00,17:50:00,755000,1,
T301,17:57:00,17:57:00,755006,2,
T302,17:58:00,17:58:00,755000,1,
T302,18:05:00,18:05:00,755006,2,
T303,18:06:00,18:06:00,755000,1,
T303,18:13:00,18:13:00,755006,2,
T304,18:14:00,18:14:00,755000,1,
T304,18:19:00,18:19:00,755006,2,
T305,18:22:00,18:22:00,755000,1,
T305,18:28:00,18:28:00,755006,2,
T306,18:30:00,18:30:00,755000,1,
T306,18:35:00,18:35:00,755006,2,
T307,18:36:00,18:36:00,755000,1,
T307,18:41:00,18:41:00,755006,2,
T308,18:46:00,18:46:00,755000,1,
T308,18:51:00,18:51:00,755006,2,
T309,18:58:00,18:58:00,755000,1,
T309,19:03:00,19:03:00,755006,2,
T310,19:08:00,19:08:00,755000,1,
T310,19:13:00,19:13:00,755006,2,
T311,19:17:00,19:17:00,755000,1,
T311,19:22:00,19:22:00,755006,2,
T312,19:33:00,19:33:00,755000,1,
T312,19:38:00,19:38:00,755006,2,
T313,19:44:00,19:44:00,755000,1,
T313,19:49:00,19:49:00,755006,2,
T314,19:55:00,19:55:00,755000,1,
T314,20:00:00,20:00:00,755006,2,
T315,20:06:00,20:06:00,755000,1,
T315,20:11:00,20:11:00,755006,2,
T316,20:17:00,20:17:00,755000,1,
T316,20:22:00,20:22:00,755006,2,
T317,20:28:00,20:28:00,755000,1,
T317,20:33:00,20:33:00,755006,2,
T318,20:39:00,20:39:00,755000,1,
T318,20:44:00,20:44:00,755006,2,
T319,20:50:00,20:50:00,755000,1,
T319,20:55:00,20:55:00,755006,2,
T320,21:01:00,21:01:00,755000,1,
T320,21:06:00,21:06:00,755006,2,
T321,05:06:00,05:06:00,755003,4,
T321,05:11:00,05:11:00,755004,5,
T321,05:25:00,05:25:00,755000,7,
T322,05:21:00,05:21:00,755003,4,
T322,05:26:00,05:26:00,755004,5,
T322,05:40:00,05:40:00,755000,7,
T323,05:39:00,05:39:00,755003,4,
T323,05:42:00,05:42:00,755004,5,
T323,05:55:00,05:55:00,755000,7,
T324,05:35:00,05:35:00,755000,1,
T324,05:53:00,05:53:00,755002,3,
T324,05:57:00,05:57:00,755003,4,
T324,06:02:00,06:02:00,755004,5,
T324,06:25:00,06:25:00,755000,7,
T325,05:50:00,05:50:00,755000,1,
T325,06:08:00,06:08:00,755002,3,
T325,06:12:00,06:12:00,755003,4,
T325,06:17:00,06:17:00,755004,5,
T325,06:40:00,06:40:00,755000,7,
T326,06:05:00,06:05:00,755000,1,
T326,06:23:00,06:23:00,755002,3,
