route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
209,20110916,2091309161121,To Fauntleroy,,,209
209,20110916,2091309161122,To Fauntleroy,,,209
209,20110916,2091309161123,To Fauntleroy,,,209
209,20110916,2091309161124,To Fauntleroy,,,209
209,20110916,2091309161125,To Fauntleroy,,,209
209,20110916,209130916113,To Fauntleroy,,,209
209,20110916,209130916114,To Fauntleroy,,,209
209,20110916,209130916115,To Fauntleroy,,,209
209,20110916,209130916116,To Fauntleroy,,,209
209,20110916,209130916117,To Fauntleroy,,,209
209,20110916,209130916118,To Fauntleroy,,,209
209,20110916,209130916119,To Fauntleroy,,,209
2116,20110916,211610916110,To Point Defiance,,,2116
2116,20110916,211610916111,To Point Defiance,,,2116
2116,20110916,2116109161110,To Point Defiance,,,2116
2116,20110916,2116109161111,To Point Defiance,,,2116
2116,20110916,2116109161112,To Point Defiance,,,2116
2116,20110916,2116109161113,To Point Defiance,,,2116
2116,20110916,2116109161114,To Point Defiance,,,2116
2116,20110916,2116109161115,To Point Defiance,,,2116
2116,20110916,2116109161116,To Point Defiance,,,2116
2116,20110916,2116109161117,To Point Defiance,,,2116
2116,20110916,2116109161118,To Point Defiance,,,2116
2116,20110916,211610916112,To Point Defiance,,,2116
2116,20110916,211610916113,To Point Defiance,,,2116
2116,20110916,211610916114,To Point Defiance,,,2116
2116,20110916,211610916115,To Point Defiance,,,2116
2116,20110916,211610916116,To Point Defiance,,,2116
2116,20110916,211610916117,To Point Defiance,,,2116
2116,20110916,211610916118,To Point Defiance,,,2116
2116,20110916,211610916119,To Point Defiance,,,2116
2220,20110916,2220150916110,To Southworth,,,2220
2220,20110916,2220150916111,To Southworth,,,2220
2220,20110916,22201509161110,To Southworth,,,2220
2220,20110916,22201509161111,To Southworth,,,2220
2220,20110916,22201509161112,To Southworth,,,2220
2220,20110916,22201509161113,To Southworth,,,2220
2220,20110916,22201509161114,To Southworth,,,2220
2220,20110916,22201509161115,To Southworth,,,2220
2220,20110916,22201509161116,To Southworth,,,2220
2220,20110916,22201509161117,To Southworth,,,2220
2220,20110916,22201509161118,To Southworth,,,2220
2220,20110916,22201509161119,To Southworth,,,2220
2220,20110916,2220150916112,To Southworth,,,2220
2220,20110916,2220150916113,To Southworth,,,2220
2220,20110916,2220150916114,To Southworth,,,2220
