trip_id,stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,route_short_name,pickup_type,drop_off_type,shape_dist_traveled
1703,2,S_MU_SB,06:26:00,06:26:00,King Street Station,,0,0,
1703,3,S_ED_SB,06:41:00,06:41:00,King Street Station,,0,0,
1703,4,S_KS_SB,07:14:00,07:14:00,King Street Station,,0,0,
1704,1,S_KS_NB,17:05:00,17:05:00,Everett Station,,0,0,
1704,2,S_ED_NB,17:32:00,17:32:00,Everett Station,,0,0,
1704,3,S_MU_NB,17:47:00,17:47:00,Everett Station,,0,0,
1704,4,S_EV_NB,18:04:00,18:04:00,Everett Station,,0,0,
1705,1,S_EV_SB,06:45:00,06:45:00,King Street Station,,0,0,
1705,2,S_MU_SB,06:56:00,06:56:00,King Street Station,,0,0,
1705,3,S_ED_SB,07:11:00,07:11:00,King Street Station,,0,0,
1705,4,S_KS_SB,07:44:00,07:44:00,King Street Station,,0,0,
1706,1,S_KS_NB,17:35:00,17:35:00,Everett Station,,0,0,
1706,2,S_ED_NB,18:02:00,18:02:00,Everett Station,,0,0,
1706,3,S_MU_NB,18:17:00,18:17:00,Everett Station,,0,0,
1706,4,S_EV_NB,18:34:00,18:34:00,Everett Station,,0,0,
1707,1,S_EV_SB,07:15:00,07:15:00,King Street Station,,0,0,
1707,2,S_MU_SB,07:26:00,07:26:00,King Street Station,,0,0,
1707,3,S_ED_SB,07:41:00,07:41:00,King Street Station,,0,0,
1707,4,S_KS_SB,08:14:00,08:14:00,King Street Station,,0,0,
510,1,S_KS_NB,07:40:00,07:40:00,Everett,,0,0,
510,2,S_ED_NB,08:07:00,08:07:00,Everett,,0,0,
510,3,S_EV_NB,08:31:00,08:31:00,Everett,,0,0,
513,1,S_EV_SB,21:15:00,21:15:00,Seattle,,0,0,
513,2,S_ED_SB,22:21:00,22:21:00,Seattle,,0,0,
513,3,S_KS_SB,22:55:00,22:55:00,Seattle,,0,0,
516,1,S_KS_NB,18:40:00,18:40:00,Everett,,0,0,
516,2,S_ED_NB,19:07:00,19:07:00,Everett,,0,0,
516,3,S_EV_NB,19:31:00,19:31:00,Everett,,0,0,
517,1,S_EV_SB,20:59:00,20:59:00,Seattle,,0,0,
517,2,S_ED_SB,21:24:00,21:24:00,Seattle,,0,0,
517,3,S_KS_SB,22:10:00,22:10:00,Seattle,,0,0,
C15001,1,C_2907,05:35:00,05:35:00,Everett,,0,0,
C15001,2,C_640,05:38:00,05:38:00,Everett,,0,0,
C15001,3,C_635,05:39:00,05:39:00,Everett,,0,0,
C15001,4,C_2638,05:40:00,05:40:00,Everett,,0,0,
C15001,5,C_641,05:42:00,05:42:00,Everett,,0,0,
C15001,6,C_634,05:43:00,05:43:00,Everett,,0,0,
C15001,7,C_473,05:45:00,05:45:00,Everett,,0,0,
C15001,8,C_476,05:47:00,05:47:00,Everett,,0,0,
C15001,9,C_759,05:53:00,05:53:00,Everett,,0,0,
C15001,10,C_2158,05:59:00,05:59:00,Everett,,0,0,
C15001,12,C_2766,06:05:00,06:05:00,Everett,,0,0,
C15001,13,C_2114,06:10:00,06:10:00,Everett,,0,0,
C15001,14,C_2131,06:19:00,06:19:00,Everett,,0,0,
C15001,15,C_2869,06:27:00,06:27:00,Everett,,0,0,
C15001,16,C_2364,06:34:00,06:34:00,Everett,,0,0,
C15001,17,C_2861,06:35:00,06:35:00,Everett,,0,0,
C15002,1,C_2907,06:05:00,06:05:00,Everett,,0,0,
C15002,2,C_640,06:08:00,06:08:00,Everett,,0,0,
C15002,3,C_635,06:09:00,06:09:00,Everett,,0,0,
C15002,4,C_2638,06:10:00,06:10:00,Everett,,0,0,
C15002,5,C_641,06:12:00,06:12:00,Everett,,0,0,
C15002,6,C_634,06:13:00,06:13:00,Everett,,0,0,
C15002,7,C_473,06:15:00,06:15:00,Everett,,0,0,
C15002,8,C_476,06:17:00,06:17:00,Everett,,0,0,
C15002,9,C_759,06:23:00,06:23:00,Everett,,0,0,
C15002,10,C_2158,06:29:00,06:29:00,Everett,,0,0,
C15002,12,C_2766,06:35:00,06:35:00,Everett,,0,0,
C15002,13,C_2114,06:40:00,06:40:00,Everett,,0,0,
C15002,14,C_2131,06:49:00,06:49:00,Everett,,0,0,
C15002,15,C_2869,06:57:00,06:57:00,Everett,,0,0,
C15002,16,C_2364,07:04:00,07:04:00,Everett,,0,0,
C15002,17,C_2861,07:05:00,07:05:00,Everett,,0,0,
C15003,1,C_2907,06:35:00,06:35:00,Everett,,0,0,
C15003,2,C_640,06:38:00,06:38:00,Everett,,0,0,
C15003,3,C_635,06:39:00,06:39:00,Everett,,0,0,
C15003,4,C_2638,06:40:00,06:40:00,Everett,,0,0,
C15003,5,C_641,06:42:00,06:42:00,Everett,,0,0,
C15003,6,C_634,06:43:00,06:43:00,Everett,,0,0,
C15003,7,C_473,06:45:00,06:45:00,Everett,,0,0,
C15003,8,C_476,06:47:00,06:47:00,Everett,,0,0,
C15003,9,C_759,06:53:00,06:53:00,Everett,,0,0,
C15003,10,C_2158,06:59:00,06:59:00,Everett,,0,0,
C15003,12,C_2766,07:05:00,07:05:00,Everett,,0,0,
C15003,13,C_2114,07:10:00,07:10:00,Everett,,0,0,
C15003,14,C_2131,07:19:00,07:19:00,Everett,,0,0,
C15003,15,C_2869,07:27:00,07:27:00,Everett,,0,0,
C15003,16,C_2364,07:34:00,07:34:00,Everett,,0,0,
C15003,17,C_2861,07:35:00,07:35:00,Everett,,0,0,
C15004,1,C_2907,07:05:00,07:05:00,Everett,,0,0,
C15004,2,C_640,07:08:00,07:08:00,Everett,,0,0,
C15004,3,C_635,07:09:00,07:09:00,Everett,,0,0,
C15004,4,C_2638,07:10:00,07:10:00,Everett,,0,0,
C15004,5,C_641,07:12:00,07:12:00,Everett,,0,0,
C15004,6,C_634,07:13:00,07:13:00,Everett,,0,0,
C15004,7,C_473,07:15:00,07:15:00,Everett,,0,0,
C15004,8,C_476,07:17:00,07:17:00,Everett,,0,0,
C15004,9,C_759,07:23:00,07:23:00,Everett,,0,0,
C15004,10,C_2158,07:29:00,07:29:00,Everett,,0,0,
C15004,12,C_2766,07:35:00,07:35:00,Everett,,0,0,
C15004,13,C_2114,07:40:00,07:40:00,Everett,,0,0,
C15004,14,C_2131,07:49:00,07:49:00,Everett,,0,0,
C15004,15,C_2869,07:57:00,07:57:00,Everett,,0,0,
C15004,16,C_2364,08:04:00,08:04:00,Everett,,0,0,
C15004,17,C_2861,08:05:00,08:05:00,Everett,,0,0,
C15005,1,C_2907,07:35:00,07:35:00,Everett,,0,0,
C15005,2,C_640,07:38:00,07:38:00,Everett,,0,0,
C15005,3,C_635,07:39:00,07:39:00,Everett,,0,0,
C15005,4,C_2638,07:40:00,07:40:00,Everett,,0,0,
C15005,5,C_641,07:42:00,07:42:00,Everett,,0,0,
C15005,6,C_634,07:43:00,07:43:00,Everett,,0,0,
C15005,7,C_473,07:45:00,07:45:00,Everett,,0,0,
C15005,8,C_476,07:47:00,07:47:00,Everett,,0,0,
C15005,9,C_759,07:53:00,07:53:00,Everett,,0,0,
C15005,10,C_2158,07:59:00,07:59:00,Everett,,0,0,
C15005,12,C_2766,08:05:00,08:05:00,Everett,,0,0,
C15005,13,C_2114,08:10:00,08:10:00,Everett,,0,0,
C15005,14,C_2131,08:19:00,08:19:00,Everett,,0,0,
C15005,15,C_2869,08:27:00,08:27:00,Everett,,0,0,
C15005,16,C_2364,08:34:00,08:34:00,Everett,,0,0,
C15005,17,C_2861,08:35:00,08:35:00,Everett,,0,0,
C15006,1,C_2907,08:05:00,08:05:00,Everett,,0,0,
C15006,2,C_640,08:08:00,08:08:00,Everett,,0,0,
C15006,3,C_635,08:09:00,08:09:00,Everett,,0,0,
C15006,4,C_2638,08:10:00,08:10:00,Everett,,0,0,
C15006,5,C_641,08:12:00,08:12:00,Everett,,0,0,
C15006,6,C_634,08:13:00,08:13:00,Everett,,0,0,
C15006,7,C_473,08:15:00,08:15:00,Everett,,0,0,
C15006,8,C_476,08:17:00,08:17:00,Everett,,0,0,
C15006,9,C_759,08:23:00,08:23:00,Everett,,0,0,
C15006,10,C_2158,08:29:00,08:29:00,Everett,,0,0,
C15006,12,C_2766,08:35:00,08:35:00,Everett,,0,0,
C15006,13,C_2114,08:40:00,08:40:00,Everett,,0,0,
C15006,14,C_2131,08:49:00,08:49:00,Everett,,0,0,
C15006,15,C_2869,08:57:00,08:57:00,Everett,,0,0,
C15006,16,C_2364,09:04:00,09:04:00,Everett,,0,0,
C15006,17,C_2861,09:05:00,09:05:00,Everett,,0,0,
C15007,1,C_2907,08:35:00,08:35:00,Everett,,0,0,
C15007,2,C_640,08:38:00,08:38:00,Everett,,0,0,
C15007,3,C_635,08:39:00,08:39:00,Everett,,0,0,
C15007,4,C_2638,08:40:00,08:40:00,Everett,,0,0,
C15007,5,C_641,08:42:00,08:42:00,Everett,,0,0,
C15007,6,C_634,08:43:00,08:43:00,Everett,,0,0,
C15007,7,C_473,08:45:00,08:45:00,Everett,,0,0,
C15007,8,C_476,08:47:00,08:47:00,Everett,,0,0,
C15007,9,C_759,08:53:00,08:53:00,Everett,,0,0,
C15007,10,C_2158,08:59:00,08:59:00,Everett,,0,0,
C15007,12,C_2766,09:05:00,09:05:00,Everett,,0,0,
C15007,13,C_2114,09:10:00,09:10:00,Everett,,0,0,
C15007,14,C_2131,09:19:00,09:19:00,Everett,,0,0,
C15007,15,C_2869,09:27:00,09:27:00,Everett,,0,0,
C15007,16,C_2364,09:34:00,09:34:00,Everett,,0,0,
C15007,17,C_2861,09:35:00,09:35:00,Everett,,0,0,
C15008,1,C_2907,09:05:00,09:05:00,Everett,,0,0,
C15008,2,C_640,09:08:00,09:08:00,Everett,,0,0,
C15008,3,C_635,09:09:00,09:09:00,Everett,,0,0,
C15008,4,C_2638,09:10:00,09:10:00,Everett,,0,0,
C15008,5,C_641,09:12:00,09:12:00,Everett,,0,0,
C15008,6,C_634,09:13:00,09:13:00,Everett,,0,0,
C15008,7,C_473,09:15:00,09:15:00,Everett,,0,0,
